HC_ID,year,month_full,month,day,date,proposal,status,text,Link,article_source_id,From,from_name,from_latitude,from_longitude,from_adm1_code_full,from_adm1_nr,from_adm1_name,from_country_code,To,to_name,to_latitude,to_longitude,to_adm1_code_full,to_adm1_nr,to_adm1_name,to_country_code
83,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Dmytrivka,Dmytrivka,50.60285,29.78394,UA.13,13,Kiev,UA,Bilohorodka,Bilohorodka,50.31667,25.55,UA.19,19,Rivne,UA
84,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Severodonetsk,,48.94628,38.48624,UA.14,14,Luhansk,UA,Slovyansk,,48.85351,37.60242,UA.05,5,Donetsk Oblast,UA
85,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Popasna,Popasna,48.63328,38.37804,UA.14,14,Luhansk,UA,Slovyansk,,48.85351,37.60242,UA.05,5,Donetsk Oblast,UA
86,2022,March,3,14,2022-03-14,Agreed,proposed route/outcome unknown,"Status: proposed route/outcome unknown; KYIV. March 14 (Interfax-Ukraine) - Ten humanitarian corridors in Ukraine have been agreed upon as of March 14, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said in a video address on Monday. These include humanitarian routes in the Kyiv region (from Bohdanivka, Novobohdanivka, Peremoha, and Bobryk to Brovary, from Hostomel, Nemyshayevo, Vorzel, and Dmytrivka to Bilohorodka) and in the Luhansk region (from Severodonetsk, Popasna, and Hirske to Slovyansk), she said.  see source: https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76647/?sphrase_id=78695,src-0,Hirske,Hirske,49.47095,23.79988,UA.15,15,Lviv Oblast,UA,Slovyansk,,48.85351,37.60242,UA.05,5,Donetsk Oblast,UA
87,2022,March,3,14,2022-03-14,Agreed,successful,"Status: successful; Yes; ""Over 160 private cars have managed to depart from Mariupol via the route to the city of Berdiansk by 1 p.m. Mariupol residents were driving along the route of the humanitarian corridor agreed in advance from Mariupol via the exit towards the village of Melekine, [past] the village of Portovske, the village of Manhush, Berdiansk, Tokmak [to] Zaporizhzhya,"" the city council said on its Telegram channel.  see source: https://interfax.com/newsroom/top-stories/76686/?sphrase_id=78695",https://interfax.com/newsroom/top-stories/76686/?sphrase_id=78695,src-183,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
107,2022,March,3,15,2022-03-15,Agreed,unsuccessful,"Status: unsuccessful; unsuccessful, only out of town evacuation, no humanitarian aid from Berdyansk; ""Nine humanitarian corridors have been agreed for today. The Donetsk region: a humanitarian convoy carrying dozens of tonnes of water, medications and food will depart from the city of Berdyansk ;;; MOSCOW. March 16 (Interfax) - More than 31,000 civilians were evacuated from Ukraine's Mariupol in the past 24 hours, the Russian Defense Ministry said. [Zaporizhzhya region] to the city of Mariupol [Donetsk region]. On its way back, it will collect and transport women, children and all those in need of it from Mariupol to Zaporizhzhya,"" Vereshchuk said in a video address published on the Telegram channel of the Office of the Ukrainian President.::: ""We have no corridors in the Luhansk region today, yet they worked for two days and they worked well. The problem with Mariupol;;; ""A humanitarian operation is underway in Mariupol. As many as 31,367 civilians were safely evacuated from the unblocked city via humanitarian corridors in the past 24 hours,"" head of the Russian National Defense Control Center Mikhail Mizintsev said. persists. Our humanitarian convoy has been unable to reach Mariupol from Berdyansk,"" Vereshchuk said at a press briefing on Tuesday.
 
 The humanitarian trucks have been unable to cover the 84-kilometer distance between Berdyansk and Mariupol for days, she said.
 
 Meanwhile, the Mariupol City Council said earlier on Tuesday that 2,000 vehicles of evacuees left Mariupol for Zaporizhzhya and another 2,000 vehicles were leaving the city as of 2 p.m. local time (3 p.m. Moscow time) on Tuesday.;;;; Out of the overall number of those evacuated on Tuesday, 20,000 people left Mariupol on their own vehicles, Zelensky said.  see source: https://interfax.com/newsroom/top-stories/76739/?sphrase_id=78694 ;;;; https://interfax.com/newsroom/top-stories/76777/?sphrase_id=78694 ;;;; https://interfax.com/newsroom/top-stories/76876/? ;;; https://interfax.com/newsroom/top-stories/76876/?sphrase_id=81982;;;; https://interfax.com/newsroom/top-stories/76822/?sphrase_id=81982",https://interfax.com/newsroom/top-stories/76739/?sphrase_id=78694 ;;;; https://interfax.com/newsroom/top-stories/76777/?sphrase_id=78694 ;;;; https://interfax.com/newsroom/top-stories/76876/? ;;; https://interfax.com/newsroom/top-stories/76876/?sphrase_id=81982;;;; https://interfax.com/newsroom/top-stories/76822/?sphrase_id=81982,src-186,Berdyansk [Zaporizhzhya region],Berdyansk,46.75578,36.78815,UA.26,26,Zaporizhzhya Oblast,UA,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA
111,2022,March,3,17,2022-03-17,Agreed,unsuccessful,"Status: unsuccessful; unsuccessful; KYIV. March 18 (Interfax-Ukraine) - Eight of the nine humanitarian corridors planned for March 17 worked, Ukrainian Deputy Prime Minister and Minister for Reintegration of Temporarily Occupied Territories Iryna Vereshchuk said.
 
 ""Eight of the planned nine humanitarian corridors worked today. [...] The corridor for humanitarian assistance from Kharkiv to Vovchansk did not work. We continue working on coordinating routes for delivering humanitarian assistance,"" Vereshchuk told a briefing on Thursday evening.  see source: https://interfax.com/newsroom/top-stories/76962/?sphrase_id=81982",https://interfax.com/newsroom/top-stories/76962/?sphrase_id=81982,src-187,Kharkiv,Kharkiv,49.98081,36.25272,UA.07,7,Kharkiv,UA,Vovchansk,Vovchansk,50.29078,36.94108,UA.07,7,Kharkiv,UA
412,2022,March,3,5,2022-03-05,Agreed,successful,Status: successful; 156 civilians evacuated via buses; 156 evacuated from Mariupol's Azovstal steel plant. President Volodymyr Zelenskiy has confirmed 156 people who were successfully evacuated from the Azovstal steel plant in Mariupol have arrived in Zaporizhzhia on Tuesday.  see source: https://www.theguardian.com/world/live/2022/may/03/russia-ukraine-war-moscow-plans-to-annex-donetsk-and-luhansk-us-says-britain-pledges-another-300m-in-military-aid-live,https://www.theguardian.com/world/live/2022/may/03/russia-ukraine-war-moscow-plans-to-annex-donetsk-and-luhansk-us-says-britain-pledges-another-300m-in-military-aid-live,src-116,Mariupol (Azovstal),Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhia,Zaporizhzhia,48.10414,36.99435,UA.05,5,Donetsk Oblast,UA
416,2022,April,4,5,2022-04-05,Agreed,successful,"Status: successful; 344 civilians evacuated;  evacuation from Azovstal ""and suburbs"" see source: https://www.theguardian.com/world/live/2022/may/04/russia-ukraine-war-russia-attacks-azovstal-steel-plant-after-first-evacuated-civilians-reach-safety-live?filterKeyEvents=false&page=with:block-6272ffc88f08a298acd038f6#block-6272ffc88f08a298acd038f6",https://www.theguardian.com/world/live/2022/may/04/russia-ukraine-war-russia-attacks-azovstal-steel-plant-after-first-evacuated-civilians-reach-safety-live?filterKeyEvents=false&page=with:block-6272ffc88f08a298acd038f6#block-6272ffc88f08a298acd038f6,src-251,Mariupol (Azovstal),Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhia,Zaporizhzhia,48.10414,36.99435,UA.05,5,Donetsk Oblast,UA
5,2022,July,7,3,2022-07-03,Russia,proposed route/outcome unknown,"Status: proposed route/outcome unknown; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75822/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75842/?sphrase_id=79069 ;;; https://inews.co.uk/news/what-is-humanitarian-corridor-meaning-why-putin-offering-evacuate-ukraine-russia-belarus-1501680?ico=in-line_link",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75822/?sphrase_id=79069 ;;;; https://interfax.com/newsroom/top-stories/75842/?sphrase_id=79069 ;;; https://inews.co.uk/news/what-is-humanitarian-corridor-meaning-why-putin-offering-evacuate-ukraine-russia-belarus-1501680?ico=in-line_link,src-174,Kyiv,Kyiv,50.45466,30.5238,UA.12,12,Kyiv City,UA,Gomel (Belarus) to be transfered to Russia by air,,52.43652,30.96949,,,,BY
6,2022,July,7,3,2022-07-03,Russia,disputed,"Status: disputed; disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,"Rostov-on-Don, from where people would be transported by air, by train, or by bus to planned destinations or temporary accommodation centers",,47.23333,39.7,,,,RU
7,2022,July,7,3,2022-07-03,Russia,disputed,"Status: disputed; disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,Mariupol,Mariupol,47.09514,37.54131,UA.05,5,Donetsk Oblast,UA,Zaporizhzhya,Zaporizhzhya,47.85167,35.11714,UA.26,26,Zaporizhzhya Oblast,UA
8,2022,July,7,3,2022-07-03,Russia,disputed,"Status: disputed; disputed; MOSCOW. March 7 (Interfax) - Russia has declared a ceasefire starting 10:00 a.m. on March 7 and will open humanitarian corridors for the evacuation of civilians from Kyiv, Mariupol, Kharkiv, and Sumy, the Russian interagency humanitarian response staff in Ukraine said on Monday. ;;;;; MOSCOW. March 7 (Interfax) - The Russian military has accused Ukrainian nationalists of disrupting the work of humanitarian corridors. ""We monitored closely using objective control means, including drones, no practical events to prepare humanitarian convoys were conducted, no one came to the opened humanitarian corridors,"" Col. Gen. Mikhail Mizintsev, the head of the Russian National Defense Control Center, said. ""It has been established that nationalists are just not letting civilians and foreign citizens out of the said populated areas under threat of physical violence,"" Mizintsev said.  see source: https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069",https://interfax.com/newsroom/top-stories/75807/?sphrase_id=79069,src-13,Kharkiv,Kharkiv,49.98081,36.25272,UA.07,7,Kharkiv,UA,"Belgorod, from where they would be transported by air, by train, or by bus to planned destinations or temporary accommodation centers",,50.61074,36.58015,,,,RU
